TD 9D 8D 7D 6D TD 9D 8D 7D 6D Tie.
TD 9D 8D 7D 6D 9D 8D 7D 6D 5D Black wins.
TD 9D 8D 7D 6D 8D 7D 6D 5D 4D Black wins.
TD 9D 8D 7D 6D AC AS AD AH 9D Black wins.
TD 9D 8D 7D 6D TC TS TD TH 9D Black wins.
TD 9D 8D 7D 6D AS AD AH 9D 9C Black wins.
TD 9D 8D 7D 6D TS TD TH 9D 9C Black wins.
TD 9D 8D 7D 6D KD 9D 5D 3D 2D Black wins.
TD 9D 8D 7D 6D TD 9D 5D 3D 2D Black wins.
TD 9D 8D 7D 6D 9D 8D 5D 3D 2D Black wins.
TD 9D 8D 7D 6D TD 9C 8S 7D 6H Black wins.
TD 9D 8D 7D 6D 9C 8S 7D 6H 5D Black wins.
TD 9D 8D 7D 6D 8S 7D 6H 5D 4C Black wins.
TD 9D 8D 7D 6D AS AD AH KD 9C Black wins.
TD 9D 8D 7D 6D KD TS TD TH 9C Black wins.
TD 9D 8D 7D 6D KD 9C 5S 5D 5H Black wins.
TD 9D 8D 7D 6D KD KD 9C 9S 5H Black wins.
TD 9D 8D 7D 6D KD KD 9C 9S 2H Black wins.
TD 9D 8D 7D 6D KD KD 8C 8S 2H Black wins.
TD 9D 8D 7D 6D KD KD 9C 5S 2H Black wins.
TD 9D 8D 7D 6D KD KD 8C 5S 2H Black wins.
TD 9D 8D 7D 6D KD 9C 5S 5D 2H Black wins.
TD 9D 8D 7D 6D KD 9C 5S 3D 2H Black wins.
TD 9D 8D 7D 6D TD 9C 5S 3D 2H Black wins.
TD 9D 8D 7D 6D 9C 8D 5S 3D 2H Black wins.
9D 8D 7D 6D 5D TD 9D 8D 7D 6D White wins.
9D 8D 7D 6D 5D 9D 8D 7D 6D 5D Tie.
9D 8D 7D 6D 5D 8D 7D 6D 5D 4D Black wins.
9D 8D 7D 6D 5D AC AS AD AH 9D Black wins.
9D 8D 7D 6D 5D TC TS TD TH 9D Black wins.
9D 8D 7D 6D 5D AS AD AH 9D 9C Black wins.
9D 8D 7D 6D 5D TS TD TH 9D 9C Black wins.
9D 8D 7D 6D 5D KD 9D 5D 3D 2D Black wins.
9D 8D 7D 6D 5D TD 9D 5D 3D 2D Black wins.
9D 8D 7D 6D 5D 9D 8D 5D 3D 2D Black wins.
